DATE_0,OPEN_0,HIGH_0,LOW_0,CLOSE_0,VOLUME_0,AMOUNT_0,VWAP_CHANGE_0,OUTPUTVWAP_CHANGE_0
2/26/11,8.84,9.05,8.82,8.92,4.6009758E7,4.1084834E8,0.014831791037817925,-0.013524675006323988
2/27/11,8.85,8.9,8.75,8.78,4.1115344E7,3.6217773E8,-0.013524675006323988,0.0024116338327855313
2/28/11,8.78,8.92,8.75,8.84,3.6188377E7,3.1954573E8,0.0024116338327855313,-0.009260163477085385
3/1/11,8.77,8.86,8.64,8.73,5.0658455E7,4.4317523E8,-0.009260163477085385,0.01569226719208327
3/2/11,8.75,8.97,8.7,8.89,5.9306969E7,5.269767E8,0.01569226719208327,0.024491290795358008
3/3/11,8.91,9.21,8.87,9.16,9.4932084E7,8.6418549E8,0.024491290795358008,0.0075290379780053145
3/4/11,9.18,9.25,9.08,9.16,6.6314936E7,6.0822306E8,0.0075290379780053145,0.005497846032796345
3/5/11,9.13,9.3,9.05,9.18,6.8454846E7,6.3130157E8,0.005497846032796345,0.004663754309312359
3/6/11,9.26,9.35,9.21,9.26,4.5585827E7,4.2236045E8,0.004663754309312359,0.014821617115328454
3/7/11,9.4,9.55,9.26,9.38,8.2502754E7,7.7573174E8,0.014821617115328454,-0.01822186719613178
3/8/11,9.35,9.35,9.16,9.21,5.0778832E7,4.6874773E8,-0.01822186719613178,-9.458102316825835E-4
3/9/11,9.15,9.34,9.11,9.18,5.7198902E7,5.2751305E8,-9.458102316825835E-4,-0.003163409338684098
3/10/11,9.08,9.37,9.04,9.36,5.9397848E7,5.4605979E8,-0.003163409338684098,0.01316819495240574
3/11/11,9.38,9.39,9.22,9.24,8.4349601E7,7.8565896E8,0.01316819495240574,-0.0013670163815891919
3/12/11,9.35,9.36,9.23,9.31,4.2565042E7,3.9592234E8,-0.0013670163815891919,-0.009700324874182611
3/13/11,9.25,9.28,9.16,9.18,3.2870037E7,3.0277762E8,-0.009700324874182611,-0.0011465283435838328
3/14/11,9.24,9.3,9.14,9.21,3.1693301E7,2.9160357E8,-0.0011465283435838328,0.003102529496294851
3/15/11,9.24,9.29,9.18,9.27,2.7951632E7,2.5797514E8,0.003102529496294851,-0.00874457930510532
3/16/11,9.2,9.25,9.04,9.05,4.6636157E7,4.2665714E8,-0.00874457930510532,-0.004784337148175202
3/17/11,9.06,9.17,9.05,9.08,2.5261827E7,2.300055E8,-0.004784337148175202,0.011069601002585461
3/18/11,9.18,9.27,9.13,9.21,4.2296963E7,3.8937109E8,0.011069601002585461,-0.004031614372476223
3/19/11,9.2,9.22,9.13,9.18,3.0013432E7,2.7517928E8,-0.004031614372476223,-0.018624957859193186
3/20/11,9.18,9.18,8.87,8.92,6.4028631E7,5.7611515E8,-0.018624957859193186,-0.011824770167286305
3/21/11,8.94,8.97,8.84,8.86,3.2007465E7,2.8459045E8,-0.011824770167286305,-0.009716853334531482
3/22/11,8.8,8.89,8.76,8.8,3.681993E7,3.2419879E8,-0.009716853334531482,-0.010475008513556795
3/23/11,8.84,8.85,8.67,8.74,3.2355327E7,2.8190384E8,-0.010475008513556795,0.00329459417823053
3/24/11,8.7,8.81,8.68,8.75,3.0669913E7,2.6809963E8,0.00329459417823053,-0.00733910711312428
3/25/11,8.76,8.77,8.62,8.69,2.6370231E7,2.2882239E8,-0.00733910711312428,0.0018246421360798221
3/26/11,8.62,8.76,8.6,8.7,2.4460075E7,2.1263467E8,0.0018246421360798221,-0.004767595122088943
3/27/11,8.7,8.72,8.6,8.62,2.1366538E7,1.848566E8,-0.004767595122088943,-0.004484041364301315
3/28/11,8.63,8.68,8.57,8.6,2.3967739E7,2.0643156E8,-0.004484041364301315,0.008016273627596613
3/29/11,8.66,8.74,8.62,8.73,2.596061E7,2.2538835E8,0.008016273627596613,-0.014814545942670383
3/30/11,8.69,8.73,8.47,8.5,4.4971839E7,3.8465839E8,-0.014814545942670383,0.03355037543834058
3/31/11,8.74,8.95,8.73,8.81,8.9049077E7,7.8721912E8,0.03355037543834058,-0.0058983287950879724
4/1/11,8.78,8.85,8.71,8.8,3.8638133E7,3.3955736E8,-0.0058983287950879724,0.003564094974177844
4/2/11,8.84,8.91,8.63,8.8,4.0188321E7,3.544394E8,0.003564094974177844,-0.004545599154596957
4/3/11,8.76,8.84,8.7,8.73,2.6440305E7,2.321293E8,-0.004545599154596957,-3.4595216847556473E-4
4/4/11,8.74,8.83,8.7,8.78,2.3350899E7,2.0493533E8,-3.4595216847556473E-4,-0.0027392072149822273
4/5/11,8.78,8.83,8.68,8.78,2.1909676E7,1.9175996E8,-0.0027392072149822273,-0.0046666280246026055
4/6/11,8.73,8.78,8.64,8.7,2.9514E7,2.5710979E8,-0.0046666280246026055,-0.0027974663825364875
4/7/11,8.68,8.74,8.64,8.66,2.3035328E7,2.0010978E8,-0.0027974663825364875,-0.00326596425017097
4/8/11,8.64,8.72,8.56,8.58,4.7600711E7,4.1216076E8,-0.00326596425017097,-0.006267917646521033
4/9/11,8.57,8.65,8.54,8.6,2.7334982E7,2.3520216E8,-0.006267917646521033,-0.006847186769318327
4/10/11,8.56,8.62,8.48,8.49,4.1518789E7,3.5479972E8,-0.006847186769318327,1.1853416268033711E-4
4/11/11,8.51,8.65,8.49,8.62,3.7730295E7,3.2246328E8,1.1853416268033711E-4,-0.005650355267295312
4/12/11,8.57,8.64,8.37,8.61,4.5264959E7,3.8467266E8,-0.005650355267295312,0.01715295773275688
4/13/11,8.58,8.75,8.56,8.59,3.8376971E7,3.3173107E8,0.01715295773275688,-6.532753675746207E-4
4/14/11,8.66,8.72,8.5,8.53,4.163765E7,3.596813E8,-6.532753675746207E-4,-0.014252514734146585
4/15/11,8.49,8.59,8.45,8.53,4.2682705E7,3.6345384E8,-0.014252514734146585,0.004031010470524339
4/16/11,8.54,8.61,8.49,8.54,2.3263186E7,1.9889032E8,0.004031010470524339,-0.007003333892439708
4/17/11,8.52,8.56,8.42,8.47,3.1788769E7,2.6987705E8,-0.007003333892439708,-0.003586364242134573
4/18/11,8.47,8.53,8.4,8.44,3.1075676E7,2.6287694E8,-0.003586364242134573,-0.012021848920716624
4/19/11,8.43,8.46,8.25,8.38,4.2011046E7,3.5110963E8,-0.012021848920716624,-0.0027568041652711235
4/20/11,8.35,8.38,8.29,8.35,4.0055045E7,3.3383937E8,-0.0027568041652711235,0.015299576617564987
4/21/11,8.39,8.51,8.38,8.49,5.298253E7,4.4833973E8,0.015299576617564987,0.002821134279639471
4/22/11,8.54,8.56,8.39,8.41,3.4201379E7,2.9022955E8,0.002821134279639471,0.021075140909113554
4/23/11,8.47,8.82,8.47,8.65,1.32116203E8,1.14475302E9,0.021075140909113554,0.0032641336547942082
4/24/11,8.63,8.78,8.62,8.71,6.1778687E7,5.3704376E8,0.0032641336547942082,0.02124966152974828
4/25/11,8.72,8.99,8.68,8.95,8.0136249E7,7.1142961E8,0.02124966152974828,0.012464013617718862
4/26/11,8.95,9.1,8.88,9.07,7.2004632E7,6.4720663E8,0.012464013617718862,0.0035851566869719255
4/27/11,9.05,9.1,8.98,9.0,4.9261157E7,4.4436655E8,0.0035851566869719255,0.010320065443834656
4/28/11,9.0,9.21,8.99,9.09,6.0486981E7,5.5126147E8,0.010320065443834656,-0.004527768297966855
