Shapelet_0,Shapelet_1,Shapelet_2,Shapelet_3,Shapelet_4,Shapelet_5,Shapelet_6,Shapelet_7,Shapelet_8,Shapelet_9,Shapelet_10,Shapelet_11,Shapelet_12,Shapelet_13,Shapelet_14,Shapelet_15,Shapelet_16,Shapelet_17,Shapelet_18,Shapelet_19,Shapelet_20,Shapelet_21,Shapelet_22,Shapelet_23,Shapelet_24,Shapelet_25,Shapelet_26,Shapelet_27,Shapelet_28,Shapelet_29,Shapelet_30,Shapelet_31,Shapelet_32,Shapelet_33,Shapelet_34,Shapelet_35,Shapelet_36,Shapelet_37,Shapelet_38,Shapelet_39,Shapelet_40,Shapelet_41,Shapelet_42,Shapelet_43,Shapelet_44,Shapelet_45,Shapelet_46,Shapelet_47,Shapelet_48,Shapelet_49,Shapelet_50,Shapelet_51,Shapelet_52,Shapelet_53,Shapelet_54,Shapelet_55,Shapelet_56,Shapelet_57,Shapelet_58,Shapelet_59,Shapelet_60,Shapelet_61,Shapelet_62,Shapelet_63,Shapelet_64,Shapelet_65,Shapelet_66,Shapelet_67,Shapelet_68,Shapelet_69,Shapelet_70,Shapelet_71,Shapelet_72,Shapelet_73,Shapelet_74,Shapelet_75,Shapelet_76,Shapelet_77,Shapelet_78,Shapelet_79,Shapelet_80,Shapelet_81,Shapelet_82,Shapelet_83,Shapelet_84,Shapelet_85,Shapelet_86,Shapelet_87,Shapelet_88,Shapelet_89,Shapelet_90,Shapelet_91,Shapelet_92,Shapelet_93,Shapelet_94,Shapelet_95,Shapelet_96,Shapelet_97,Shapelet_98,Shapelet_99,ACTUAL_VWAP_CHANGE_0
0.161213,0.146463,0.117901,0.117823,0.124031,0.13705,0.116688,0.142987,0.118502,0.115506,0.144536,0.136581,0.109819,0.11721,0.10676,0.114462,0.153702,0.106648,0.108208,0.142131,0.074606,0.110574,0.099849,0.126666,0.168537,0.135699,0.080363,0.143843,0.075663,0.076349,0.11423,0.094023,0.157484,0.085279,0.099233,0.102643,0.11338,0.08963,0.083492,0.098731,0.074438,0.075307,0.134937,0.094041,0.127637,0.105232,0.075561,0.128827,0.144418,0.111485,0.063452,0.092118,0.081018,0.082385,0.108429,0.070009,0.136329,0.096574,0.094964,0.150301,0.078073,0.073111,0.073293,0.119387,0.057642,0.072249,0.116577,0.118071,0.066832,0.083251,0.111304,0.148455,0.145435,0.092742,0.052706,0.113755,0.104343,0.139217,0.101764,0.065861,0.049698,0.054461,0.148058,0.057145,0.159716,0.053054,0.082763,0.097949,0.048247,0.059028,0.120555,0.117695,0.064174,0.157477,0.048047,0.134131,0.144355,0.051316,0.115767,0.121777,-0.307984
0.146959,0.106603,0.099139,0.059024,0.090098,0.106136,0.081448,0.147536,0.080727,0.094811,0.155007,0.126015,0.113562,0.069863,0.137959,0.10066,0.107622,0.157976,0.137757,0.136981,0.118483,0.171278,0.073766,0.103807,0.14521,0.061807,0.075385,0.108915,0.128452,0.105782,0.05814,0.176498,0.091738,0.164762,0.102256,0.091121,0.162111,0.075898,0.076959,0.100327,0.083616,0.082025,0.108836,0.059375,0.069323,0.069095,0.097097,0.099415,0.082202,0.064883,0.09146,0.173749,0.070926,0.069542,0.061351,0.082122,0.073169,0.060146,0.060211,0.073157,0.092153,0.085358,0.082657,0.104538,0.101568,0.112536,0.053716,0.053045,0.092498,0.13107,0.050321,0.126313,0.103034,0.17336,0.106779,0.184886,0.052003,0.103522,0.07488,0.097918,0.107456,0.107621,0.094133,0.107727,0.080249,0.112743,0.074814,0.125144,0.110496,0.13058,0.042701,0.043444,0.122096,0.039645,0.112963,0.170839,0.040878,0.112847,0.149917,0.040824,-0.30197
0.126825,0.122611,0.083343,0.06431,0.098514,0.131632,0.087598,0.14639,0.074234,0.07916,0.115067,0.120751,0.110152,0.064838,0.118573,0.064691,0.078541,0.13807,0.128508,0.130749,0.112583,0.139956,0.087637,0.136057,0.090145,0.066127,0.066299,0.13472,0.107018,0.09719,0.088257,0.152648,0.064274,0.130292,0.101616,0.12705,0.134322,0.009242,0.009573,0.058019,0.008589,0.009286,0.110506,0.081973,0.044438,0.012249,0.003573,0.123398,0.022052,0.014365,0.010214,0.154842,0.019303,0.020608,0.015353,0.021538,0.114598,0.018514,0.01992,0.024716,0.083265,0.086642,0.031845,0.123544,0.006518,0.001609,0.019514,0.019948,0.034074,0.119955,0.022991,0.067094,0.127194,0.142461,0.025807,0.17066,0.032275,0.1332,0.085589,0.07043,0.016136,0.030756,0.048141,0.035681,0.055265,0.003471,0.046454,0.140371,0.010307,0.067435,0.029785,0.031507,0.000571,0.060553,0.024097,0.194846,0.029922,0.070956,0.121265,0.034367,-0.279566
0.148397,0.137464,0.115582,0.105937,0.116819,0.114634,0.109916,0.11869,0.117088,0.11271,0.147515,0.152353,0.122359,0.101024,0.118749,0.120013,0.155408,0.10686,0.124202,0.16433,0.078818,0.097395,0.095376,0.114607,0.174806,0.127407,0.079196,0.123823,0.067802,0.062884,0.125258,0.098665,0.15804,0.103212,0.12043,0.090961,0.087342,0.107954,0.101959,0.110308,0.09229,0.093422,0.164162,0.108792,0.112772,0.124267,0.091014,0.150997,0.162021,0.131119,0.081017,0.086502,0.101777,0.103459,0.128739,0.090181,0.126121,0.117932,0.116587,0.169171,0.107105,0.057452,0.094866,0.119635,0.073655,0.085697,0.138137,0.139724,0.087815,0.114358,0.133985,0.162561,0.136934,0.072318,0.071238,0.106293,0.128497,0.147221,0.121257,0.078118,0.066773,0.07359,0.150755,0.076922,0.148609,0.067443,0.102004,0.08611,0.064121,0.060304,0.144849,0.142267,0.076621,0.14923,0.065752,0.133237,0.168042,0.068267,0.084727,0.146952,-0.27113
0.059446,0.064648,0.039863,0.064158,0.053425,0.063033,0.0628,0.064968,0.066547,0.062032,0.052832,0.059384,0.043536,0.061797,0.046388,0.034571,0.067215,0.045734,0.049768,0.072029,0.031757,0.051389,0.067803,0.077779,0.077165,0.081396,0.04595,0.086582,0.029831,0.035539,0.054151,0.034308,0.067054,0.034626,0.0447,0.05302,0.061614,0.044324,0.041652,0.035277,0.036325,0.037303,0.067045,0.032698,0.056832,0.053922,0.032459,0.074244,0.07678,0.058478,0.03167,0.04382,0.047235,0.048806,0.058029,0.042659,0.091273,0.054756,0.054911,0.081944,0.039064,0.041941,0.050642,0.093321,0.025791,0.02834,0.065046,0.06606,0.048249,0.048709,0.065157,0.067907,0.057658,0.05288,0.035323,0.067293,0.067735,0.074222,0.057277,0.042519,0.027762,0.039184,0.067184,0.043519,0.085126,0.020783,0.038273,0.044766,0.023136,0.023607,0.074345,0.074072,0.023167,0.088057,0.031573,0.07915,0.085405,0.029326,0.072664,0.077973,-0.262295
0.077544,0.081738,0.046341,0.079509,0.055552,0.078881,0.060888,0.065603,0.071417,0.063756,0.080611,0.078067,0.054593,0.082369,0.053827,0.060011,0.086183,0.055993,0.05773,0.079988,0.038096,0.061569,0.058791,0.078611,0.100991,0.084898,0.051164,0.079895,0.037443,0.039042,0.061464,0.044556,0.094733,0.055958,0.054008,0.058647,0.065539,0.029314,0.024875,0.066921,0.019737,0.019954,0.085083,0.039263,0.062628,0.039371,0.024369,0.088561,0.072609,0.042973,0.013341,0.038204,0.021031,0.021666,0.03965,0.015492,0.081988,0.030121,0.028854,0.074618,0.046296,0.030699,0.0178,0.084375,0.011707,0.026016,0.043723,0.044676,0.01539,0.074985,0.03865,0.090454,0.068365,0.043744,0.008645,0.065811,0.033436,0.099733,0.065087,0.036942,0.00685,0.010046,0.093148,0.011964,0.097598,0.011273,0.063166,0.047869,0.006749,0.033759,0.043483,0.041427,0.022404,0.103848,0.006778,0.082545,0.06126,0.027169,0.06829,0.043762,-0.25109
0.099385,0.056821,0.06637,0.117679,0.066676,0.074619,0.067799,0.086289,0.103876,0.083244,0.093997,0.050083,0.06223,0.132398,0.072695,0.097583,0.104476,0.073656,0.049752,0.071686,0.061214,0.111411,0.103604,0.114318,0.122926,0.111651,0.103443,0.105764,0.073799,0.087238,0.029419,0.076295,0.116138,0.068992,0.019325,0.04431,0.150425,0.129335,0.131112,0.123149,0.139933,0.137894,0.080883,0.032105,0.084166,0.119552,0.156356,0.029702,0.130656,0.113776,0.150079,0.089394,0.123194,0.121297,0.109752,0.137266,0.110265,0.109066,0.109148,0.119112,0.047704,0.090885,0.136585,0.153323,0.162981,0.175201,0.099534,0.09856,0.14864,0.075475,0.095625,0.115191,0.042248,0.11274,0.167701,0.135954,0.097324,0.042277,0.054308,0.098569,0.169736,0.168054,0.123073,0.16745,0.131554,0.176979,0.106508,0.080449,0.174059,0.093686,0.085064,0.086032,0.187391,0.104554,0.175639,0.120445,0.080754,0.088928,0.175337,0.082268,-0.228405
0.074685,0.100694,0.055304,0.045299,0.057419,0.078494,0.064423,0.074167,0.051329,0.054892,0.08382,0.097757,0.075188,0.044535,0.075599,0.047421,0.055124,0.087246,0.100424,0.108556,0.074208,0.071546,0.060828,0.074524,0.066384,0.053771,0.043826,0.074422,0.058711,0.053944,0.080194,0.095968,0.049433,0.104396,0.101991,0.082818,0.06106,0.096013,0.09149,0.039846,0.083005,0.084317,0.100985,0.066022,0.03143,0.110274,0.078471,0.125068,0.140702,0.116754,0.074135,0.085397,0.095746,0.097674,0.115776,0.086439,0.072018,0.108973,0.108477,0.14822,0.091121,0.045965,0.093746,0.075467,0.065939,0.071788,0.125367,0.126808,0.088029,0.117212,0.123967,0.060869,0.094854,0.073051,0.070663,0.086097,0.123089,0.120953,0.095269,0.049597,0.063606,0.074174,0.047069,0.078508,0.034039,0.058716,0.039524,0.078182,0.05905,0.043038,0.135643,0.134248,0.063363,0.049574,0.065114,0.109604,0.153383,0.053618,0.051974,0.139173,-0.223048
0.109047,0.094278,0.068622,0.076973,0.064015,0.102493,0.063487,0.118281,0.068817,0.062551,0.085115,0.074022,0.062864,0.076662,0.071578,0.061585,0.065068,0.088894,0.072035,0.075183,0.072763,0.109539,0.084731,0.110141,0.069095,0.079217,0.057285,0.117863,0.07778,0.086183,0.054506,0.102109,0.058047,0.079942,0.048664,0.087285,0.134377,0.019738,0.015463,0.039584,0.011475,0.01137,0.070528,0.040776,0.048765,0.028296,0.01865,0.064319,0.06172,0.03097,0.006074,0.110738,0.009519,0.009775,0.02705,0.005366,0.113546,0.017049,0.015623,0.062053,0.041821,0.083999,0.006366,0.117298,0.0064,0.022755,0.029427,0.030215,0.005109,0.062369,0.023471,0.044923,0.08828,0.118951,0.001589,0.143347,0.017343,0.079106,0.057276,0.050401,0.001185,0.002443,0.0474,0.003705,0.065546,0.00798,0.016131,0.092606,0.002289,0.047237,0.026255,0.024105,0.0207,0.072499,0.000859,0.149172,0.043531,0.042335,0.138594,0.025657,-0.212295
0.056977,0.085912,0.04069,0.076104,0.057945,0.097201,0.072736,0.08656,0.079573,0.078757,0.049098,0.083094,0.068509,0.082124,0.084366,0.038956,0.041776,0.093419,0.093717,0.089442,0.094724,0.099267,0.109728,0.125838,0.036605,0.095015,0.079366,0.113349,0.092643,0.089969,0.085711,0.099699,0.031068,0.104959,0.090449,0.113113,0.101781,0.028043,0.027489,0.048758,0.024446,0.025488,0.09257,0.06367,0.026553,0.033964,0.017548,0.125152,0.04685,0.037478,0.023664,0.100794,0.03798,0.039674,0.038618,0.037343,0.118847,0.040584,0.041815,0.051564,0.089433,0.08529,0.048187,0.141769,0.017755,0.012952,0.044934,0.045653,0.048286,0.132832,0.048328,0.037804,0.085706,0.110897,0.036113,0.14258,0.056727,0.131187,0.09752,0.079957,0.02578,0.041258,0.025759,0.046596,0.046623,0.012504,0.058684,0.11276,0.019221,0.06209,0.057464,0.058771,0.009561,0.072275,0.032927,0.153272,0.060738,0.080573,0.108713,0.062556,-0.212122
