DATE_0,PRC_AVE_0,MA3_0,MA3_CHANGE_0,MA5_0,MA5_CHANGE_0,MA10_0,MA10_CHANGE_0,MACD_LINE_0,MACD_SIGNAL_0,KDJ_K_0,KDJ_D_0,KDJ_J_0,RSI_0,WR_0,BOLL_PERCENT_0,BOLL_WIDTH_0,ACTUAL_PRC_AVE_0
5/17/12,0.6000000000000018,0.6477266429147442,-0.056113114253529724,0.6596743360488553,-0.05880349888288886,0.6264689970358062,-0.05132270997052182,0.026990203645248734,0.033883116414487977,0.7406349162389045,0.654798918475137,0.9123069117664397,0.35707638934590796,0.3500000000000011,0.5206047982069432,0.08538903690141555,0.2500000000000022
5/18/12,0.5624999999999987,0.7798291518217086,-0.050966218481061296,0.8830619467073745,-0.06963741916202953,0.9361614742411587,-0.07921399813645506,0.021650918710182765,0.03143667687362694,0.6770899441592702,0.6622292603698481,0.7068113117381141,0.35533609642141223,0.44999999999999896,0.4664282442997449,0.07936891977617837,0.6249999999999972
5/19/12,0.23809523809523728,0.29139602891842203,-0.0027171796542398157,0.3195077959891755,-0.016139370460401085,0.3437386413219176,-0.027679696242159203,0.018816425741568388,0.02891262664721523,0.5254673701802528,0.616641963639983,0.34311818326079235,0.3586849478186329,0.3500000000000011,0.5269606739777054,0.06693984515843591,0.6428571428571419
5/20/12,0.4411764705882365,0.4152740178613787,0.155592230033772,0.3023397535597159,0.19949179677311665,0.20837755727188767,0.23630687341672982,0.02754932810813404,0.028639966939398992,0.6836449134535019,0.6389762802444894,0.7729821798715268,0.38273390286750814,0.0,1.0562325435565632,0.05755018662775435,0.8235294117647044
5/21/12,0.676751609303971,0.43672587261250473,0.08822017099757562,0.22634677345248988,0.14691759518465328,0.0,0.2108377152944344,0.03487511397244436,0.029886996346008065,0.7890966089690012,0.6890163898193267,0.9892570472683504,0.38450029780820627,0.0,1.0967634385833167,0.05449266659792693,0.7575637069779819
5/22/12,0.7235473888939232,0.4945446041235623,0.03289117094800772,0.28899565828593976,0.08270163958065255,0.0,0.1535760758956567,0.03941953179807278,0.03179350343642101,0.8397898961754131,0.7392742252713556,1.0408212379835282,0.3833250058564392,0.05882352941176348,0.9984287544723319,0.05755953292428247,0.5392456481565361
5/23/12,0.1399999999999988,0.1151491457591085,-0.016804098871991816,0.09045793072897901,0.010613551995395334,0.03697104533839912,0.07052608131082283,0.04013758528768996,0.0334623198066748,0.8147618915679224,0.7644367807035446,0.9154121132966782,0.379595471752794,0.23529411764705915,0.8376317656682222,0.061487890613940055,0.3099999999999987
5/24/12,0.3099999999999987,0.12757457287955454,0.013763859849767903,0.10697195381932012,0.036669422698350294,0.05570358254959906,0.09412595746765591,0.041838196024140295,0.0351374950501679,0.8372922414374376,0.788721934281509,0.9344328557492947,0.3838772741824013,0.11764705882353217,0.8805170429953919,0.06307672764349091,0.07499999999999929
5/25/12,0.7045454545454553,0.8808513019989916,-0.015295775240357468,0.8393089509676436,-0.005161744499920967,0.65344307559768,0.04043228909639189,0.04109835319914623,0.03632966667996357,0.8130967884092721,0.7968468856574301,0.8455965939129564,0.3810594903631803,0.23529411764705915,0.7817542973266652,0.06558643136988448,0.45454545454545525
5/26/12,0.5833333333333351,0.6537235134162076,-0.08604068291472443,0.7351332478135643,-0.10766785221641947,0.687052003667957,-0.09490609424514301,0.03446630137672457,0.03595699361931577,0.6597115844297101,0.7511351185815235,0.4768645161260834,0.3708513553162569,0.6470588235294139,0.5374101724463196,0.06693649201582061,0.3333333333333333
5/27/12,0.5901185207585969,0.8170003357219014,-0.04320621607422158,0.969493834637013,-0.0720371041537518,1.0,-0.07778466326571178,0.028877471015833933,0.03454108909861941,0.5286966118420289,0.6769889496683587,0.23211193618936932,0.3708513553162569,0.6470588235294139,0.5359176127197027,0.06622385036400344,0.3245651864172278
5/28/12,0.6302868872566051,0.7694518360796413,-0.05562455429124962,0.9062250939480441,-0.09327927049045637,1.0,-0.11893185968811683,0.021776507388175048,0.031988172756530535,0.35246440789468597,0.5688141024104678,-0.08023498113687766,0.3660272508272196,0.9333333333333289,0.4367442606007422,0.06623845433470764,0.4473003716014612
5/29/12,0.34374999999999795,0.3894115793827698,-0.0735510089338953,0.5267888698845031,-0.12297847598922994,0.6628630225435411,-0.1714542104126902,0.012774025829317637,0.02814534337108796,0.23497627192979068,0.4575348255835755,-0.21014083537777895,0.35934941500354833,1.0,0.3084631410924031,0.06572613547132841,0.5312499999999993
