DATE_0,VWAP_CHANGE_0,VOLUME_CNG_0,MACD_LINE_0,MACD_SIGNAL_0,MACD_DIFF_0,KDJ_K_0,KDJ_D_0,KDJ_J_0,RSI_0,WR_0,BOLL_BANDWIDTH_0,BOLL_PERCENT_0,OUTPUTVWAP_CHANGE_0
11/20/11,8.414687586174182E-4,-0.1828633170212517,-0.027239628299676077,0.00720153837343314,-0.034441166673109216,0.0538734311705382,0.14874959420067954,-0.13587889488974447,0.4046573050523086,20.0,0.05532621181812528,0.15378750816631936,0.004814104200321817
11/21/11,0.004814104200321817,0.4297954385590352,-0.02527227443943314,7.067758108598833E-4,-0.025979050250293022,0.17877276363750166,0.15875731734628692,0.2188036562199312,0.4837915575404397,11.428571428571429,0.05959919096443334,0.45230559674396537,0.004541712023488384
11/22/11,0.004541712023488384,-0.21316612027636103,-0.025836059598052685,-0.004601791270922631,-0.021234268327130053,0.22632469956785906,0.18127977808681098,0.3164145425299552,0.467158763582713,13.571428571428523,0.05962371952947797,0.3960292161267221,0.009835582267847535
11/23/11,0.009835582267847535,0.5720901641538704,-0.02039929800326057,-0.007761292617390218,-0.01263800538587035,0.48421646637857274,0.2822586741840649,0.8881320507675885,0.509331797536977,8.571428571428571,0.060445345307553335,0.5471531278048181,-0.005647158219408077
11/24/11,-0.005647158219408077,-0.21363437108823477,-0.019098139511577017,-0.010028661996227579,-0.009069477515349438,0.5728109775857152,0.37910944198461505,0.9602140487879156,0.4857914919008546,5.0,0.06000652688145439,0.4624290753564538,-4.7834510027784904E-4
11/25/11,-4.7834510027784904E-4,0.4494563588933053,-0.018658791525083984,-0.01175468790199886,-0.006904103623085123,0.6110406517238106,0.45641984523101364,0.9202822647094047,0.47985101978888167,6.2499999999999725,0.06002705139210561,0.4458683936456159,-0.001615514782492749
11/26/11,-0.001615514782492749,0.028197491139129078,-0.019697378811733834,-0.013343226083945857,-0.0063541527277879775,0.5948604344825418,0.5025667083148564,0.7794478868179127,0.46759817083831606,8.749999999999917,0.060317478584210445,0.4111256884336754,-0.002685115721879342
11/27/11,-0.002685115721879342,-0.06430322262681036,-0.022679777639601717,-0.01521053639507703,-0.007469241244524687,0.5215736229883622,0.5089023465393583,0.5469161758863699,0.4491653669526222,12.499999999999945,0.06114285608219697,0.3612039875432074,-1.078418641224146E-4
11/28/11,-1.078418641224146E-4,-0.011637398608741372,-0.020769351904859512,-0.016322299497033527,-0.004447052407825985,0.5768824153255753,0.5315623694680973,0.6675225070405313,0.4853903739098466,6.2499999999999725,0.06057122959809173,0.4731681387578111,-0.00682919576394681
11/29/11,-0.00682919576394681,0.3850094148240159,-0.027810820609492914,-0.018620003719525408,-0.009190816889967507,0.3845882768837169,0.4825710052733039,0.188622820104543,0.42024602370405517,20.0,0.05706665251798763,0.24042938699826302,0.002785958259186388
11/30/11,0.002785958259186388,-0.34953844329525774,-0.026628942009311096,-0.020221791377482545,-0.006407150631828552,0.42305885125581133,0.4627336206008064,0.34370931256582116,0.47513598455769046,10.0,0.051871672706823,0.42863837641858116,0.05002079751146525
12/1/11,0.05002079751146525,5.490441594565508,0.010497930876977257,-0.014077846926590584,0.02457577780356784,0.6153725675038743,0.5136132695684957,0.8188911633746312,0.6658203078331004,0.0,0.04553120761821816,1.61945768491381,0.01806824474454826
12/2/11,0.01806824474454826,-0.49280196273143295,0.04026402295737963,-0.0032094729497965414,0.04347349590717617,0.7435817116692496,0.5902694169354137,1.0502063011369214,0.6686861907165155,0.0,0.06111558549939339,1.2704759074316512,0.02722893072636726
12/3/11,0.02722893072636726,0.9911341626248962,0.09264185552228277,0.01596079274461932,0.07668106277766346,0.8290544744461664,0.6698644361056646,1.14743455112717,0.7527457482762588,0.0,0.0768265501888685,1.6225282415968827,0.026858990724111912
12/4/11,0.026858990724111912,-0.061044446874599645,0.13820691687060105,0.040410017569815666,0.09779689930078539,0.8860363162974443,0.7419217295029246,1.174265489886484,0.7648397761771321,0.0,0.11579672645549956,1.239031736148386,-0.0034842797291037347
12/5/11,-0.0034842797291037347,-0.46607108877479153,0.16834242742132677,0.06599649954011788,0.10234592788120889,0.9070174081438742,0.7969536223832412,1.1271449796651405,0.7372421000863922,1.0204081632653201,0.14602385416985927,0.9862023763093408,0.010992215257122807
12/6/11,0.010992215257122807,0.5150597497566383,0.19960708751182388,0.09271861713445909,0.10688847037736479,0.9380116054292496,0.8439729500652441,1.1260889161572607,0.7595520027991458,0.0,0.16502272725175957,0.9704758889653187,-0.00455950489195958
12/7/11,-0.00455950489195958,-0.2873331167480833,0.21305253815239222,0.11678540133804571,0.09626713681434651,0.9237537686988645,0.870566556276451,1.0301281935436915,0.7010879324002384,2.0952380952381167,0.18569058889423726,0.8076698653722575,0.04184631498741864
12/8/11,0.04184631498741864,1.775259021298482,0.2698197426354314,0.14739226959752286,0.12242747303790855,0.9491691791325765,0.8967674305618262,1.0539726762740769,0.7948909384513145,0.0,0.19410588758278022,1.1208981262828022,0.03466404604620895
12/9/11,0.03466404604620895,-0.2601998377151548,0.3247818573428223,0.18287018714658276,0.14191167019623951,0.9661127860883845,0.919882549070679,1.0585732601237954,0.8124637349496951,0.0,0.22770539950523952,1.0563953193311344,0.012203453696837152
12/10/11,0.012203453696837152,-0.07811688586686706,0.36972617106123096,0.2202413839295124,0.14948478713171856,0.977408524058923,0.9390578740667604,1.054109824043248,0.819294051373337,0.0,0.2592868321968994,0.9664182802142693,-0.0074888112984909175
12/11/11,-0.0074888112984909175,-0.2478266261768073,0.3935460616262354,0.254902319468857,0.1386437421573784,0.9508481069483731,0.9429879516939648,0.9665684174571898,0.7801520946264592,1.4399999999999966,0.28360351269756484,0.8469703434115788,-0.008173405418952596
12/12/11,-0.008173405418952596,-0.15237262965708395,0.4085212344435334,0.2856261024637923,0.12289513197974111,0.936224319360931,0.9407334075829535,0.9272061429168861,0.7813954140360642,1.8181818181818181,0.29837950853290274,0.7992211822023808,-0.001497152285268962
12/13/11,-0.001497152285268962,-0.12641514536776982,0.40841891987653156,0.31018466594634014,0.09823425393019142,0.8915914067057371,0.9243527406238814,0.8260687388694485,0.7409865678861226,3.953488372093016,0.30756955256685486,0.7290922901874153,0.013597470447434605
12/14/11,0.013597470447434605,0.02922049619105909,0.4132570617983795,0.330799145116748,0.0824579166816315,0.9081197613332364,0.9189417475269998,0.8864757889457093,0.7588052431958813,1.1627906976744335,0.3103981816604573,0.7451478390942464,0.03261789818974167
12/15/11,0.03261789818974167,0.7396163713864367,0.4410560953633791,0.35285053516607423,0.08820556019730486,0.938746507555491,0.9255433342031636,0.965152854260146,0.8024814978294109,0.0,0.3105232808152755,0.8420177312684796,0.0033210964912117787
12/16/11,0.0033210964912117787,-0.5900850364271055,0.45860740547426637,0.3740019092277127,0.08460549624655367,0.9591643383703274,0.9367503355922182,1.0039923439265457,0.8035402924895152,0.0,0.31745467866440263,0.8029265554667204,0.0051368359424908095
12/17/11,0.0051368359424908095,0.3315688296069759,0.461548091111295,0.3915111456044292,0.07003694550686584,0.9251571779611705,0.9328859497152023,0.9096996344531065,0.7724836489277378,2.500000000000008,0.317648616076698,0.7487201695498319,0.006265684388099585
12/18/11,0.006265684388099585,-0.06451495122182097,0.47454665574302624,0.40811824763214866,0.06642840811087758,0.9501047853074471,0.938625561579284,0.9730632327637734,0.7965544345888773,0.0,0.30746941104062564,0.7972226542906365,0.03411143169430203
12/19/11,0.03411143169430203,0.6592968408770975,0.5056475635799309,0.42762411082170515,0.07802345275822575,0.9667365235382981,0.9479958822322887,1.0042178061503169,0.8286104263545507,0.0,0.29759706636128375,0.8872582846798114,0.02187442287425183
12/20/11,0.02187442287425183,0.3173829654418578,0.5322292142945422,0.4485451315162726,0.08368408277826955,0.9778243490255321,0.9579387044967033,1.0175956380831896,0.8369515936527305,0.0,0.285895861042693,0.8955303796062474,0.013480718781366198
12/21/11,0.013480718781366198,-0.05062753022422512,0.5709216276544851,0.47302043074391514,0.09790119691056992,0.9852162326836882,0.9670312138923649,1.0215862702663348,0.8590074127758562,0.0,0.27004757101851307,0.9837711300638722,-0.004939468252046003
12/22/11,-0.004939468252046003,-0.37610551065264025,0.5787755511968413,0.4941714548345004,0.0846040963623409,0.9359436131170386,0.9566686803005895,0.8944934787499368,0.7833209292435718,2.9629629629629797,0.2771448994589155,0.8513184800233095,-0.0070458393339964355
12/23/11,-0.0070458393339964355,0.13596925770924057,0.579928618915817,0.5113228876507638,0.0686057312650532,0.8927796130457678,0.9353723245489823,0.8075941900393386,0.7853473096423266,2.926829268292677,0.26734385629448015,0.8336888390441273,0.0015863764253315701
12/24/11,0.0015863764253315701,-0.3108440306076796,0.5662459384230978,0.5223074978052307,0.043938440617867114,0.8281613190914434,0.8996353227298028,0.6852133118147243,0.747878632162061,6.021505376344113,0.2651996535318786,0.7657175113121637,-0.013520489461672426
12/25/11,-0.013520489461672426,0.4150952470128015,0.5315230868869438,0.5241506156215734,0.007372471265370439,0.7062294098602454,0.8351666851066171,0.4483548593675022,0.6722754993404185,10.752688172043014,0.2576804145079094,0.664330768081229,0.02092758508772955
12/26/11,0.02092758508772955,0.33277910381185477,0.5405405326989356,0.5274285990370459,0.013111933661889785,0.8041529399068303,0.8248287700400215,0.762801279640448,0.7400931579287741,0.0,0.23739210395547652,0.8723001873397042,0.014327577817429361
12/27/11,0.014327577817429361,-0.41374208142441266,0.5398500354553519,0.5299128863207071,0.00993714913464483,0.8568566769190193,0.8355047389996875,0.8995605527576833,0.7339524399920827,0.5263157894736732,0.22919360139277026,0.8378140866984359,-0.018076013848238034
12/28/11,-0.018076013848238034,0.16900205531967438,0.5164047736781257,0.5272112637921909,-0.010806490114065204,0.759917029895698,0.8103088359650243,0.6591334177570451,0.6712915626761394,8.679245283018895,0.20779119064788754,0.740480348942279,-0.016220052712271844
12/29/11,-0.016220052712271844,-0.2554047443559133,0.4849715369731378,0.5187633184283802,-0.03379178145524242,0.6386868249619115,0.7531014989639868,0.409857476957761,0.6459679332201657,12.075471698113233,0.20023153734542104,0.6828912445941113,0.016006377596955064
12/30/11,0.016006377596955064,0.11314299401494049,0.4651879864268036,0.5080482520280649,-0.04286026560126133,0.639627694628696,0.7152768975188899,0.4883292888483082,0.6654968875946298,7.1698113207547065,0.19321555198634482,0.7332845473693415,0.012069790605993119
12/31/11,0.012069790605993119,0.37176600969357326,0.46353206521327195,0.4991450146651063,-0.03561294945183435,0.7597517964191307,0.7301018638189702,0.8190516616194516,0.6984042258393355,0.0,0.18763055366207132,0.8341700649198699,0.025346231272022172
1/1/12,0.025346231272022172,0.35961507200925397,0.46333404072730744,0.49198281987754655,-0.028648779150239112,0.8398345309460873,0.7666794195280093,0.9861447537822432,0.708640997188274,0.0,0.18151863197012666,0.8509015959424673,-0.0012569600743047454
1/2/12,-0.0012569600743047454,-0.3560929586677613,0.467471382902378,0.4870805324825129,-0.019609149580134877,0.893223020630725,0.8088606198955812,1.0619478221010126,0.7237123983476537,0.0,0.1733984345347102,0.8930612422297504,0.024994144562734556
1/3/12,0.024994144562734556,1.0530460351318398,0.4661833018953576,0.48290108636508183,-0.016717784469724217,0.9288153470871501,0.8488455289594375,1.088754983342575,0.7249825844641911,0.0,0.15919332316832085,0.8905148823964021,-0.014600972713723523
1/4/12,-0.014600972713723523,-0.7198192788749675,0.4638500953867748,0.47909088816942047,-0.015240792782645673,0.9525435647247669,0.883411540881214,1.0908076124118726,0.7315930634354764,0.0,0.14388099320801387,0.9197157107210827,0.040859523647786805
1/5/12,0.040859523647786805,1.9324404393085506,0.498217525097866,0.4829162155551096,0.01530130954275638,0.9683623764831779,0.9117284860818687,1.0816301572857963,0.7882952592653363,0.0,0.13951663583978607,1.2193843085633922,0.022131265941673025
1/6/12,0.022131265941673025,-0.2737545012776846,0.5290385309957522,0.4921406786432381,0.03689785235251403,0.9789082509887854,0.934121741050841,1.0684812708646743,0.7988043663974823,0.0,0.15147334095671963,1.162957965462754,-0.004679390607594125
1/7/12,-0.004679390607594125,-0.09889649377020689,0.5423707888246305,0.5021867006795167,0.04018408814511387,0.9683949743434007,0.945546152148361,1.0140926187334802,0.7781119806490154,0.9448818897637864,0.1578168067113688,1.0373714894238608,0.008432332242096321
1/8/12,0.008432332242096321,0.05213256901768557,0.5657807254276008,0.5149055056291335,0.05087521979846732,0.9789299828956006,0.9566740957307742,1.0234417572252537,0.800284044150122,0.0,0.16108910417382993,1.1002411565635621,0.02710250976184657
