DATE,OPEN,HIGH,LOW,CLOSE,AMOUNT,VOLUME
20100104,6.800,6.800,6.550,6.700,73621887,11045000
20100105,6.710,6.770,6.630,6.760,72394333,10782140
20100106,6.710,6.770,6.610,6.690,78826275,11818110
20100107,6.700,6.700,6.360,6.680,78646910,11996705
20100108,6.600,6.600,6.400,6.530,50424637,7726878
20100111,6.500,6.500,6.400,6.480,52268259,8119938
20100112,6.450,6.450,6.300,6.400,77729503,12198328
20100113,6.320,6.550,6.250,6.410,80137055,12466074
20100114,6.410,6.530,6.320,6.450,54613493,8498494
20100115,6.420,6.570,6.410,6.490,48902190,7548966
20100118,6.480,6.520,6.410,6.460,46620842,7223194
20100119,6.480,6.880,6.480,6.780,129279504,19205228
20100120,6.740,6.830,6.410,6.440,74473118,11261049
20100121,6.410,6.500,6.230,6.300,47346814,7481263
20100122,6.190,6.190,5.820,6.010,51124818,8434244
20100125,6.010,6.090,5.930,5.950,20547310,3410551
20100126,5.950,6.040,5.590,5.600,29128099,5072841
20100127,5.560,5.690,5.500,5.530,19683895,3522219
20100128,5.540,5.570,5.410,5.550,23593726,4285796
20100129,5.530,5.670,5.450,5.540,24613244,4416599
20100201,5.540,5.540,5.340,5.350,22549934,4169815
20100202,5.370,5.470,5.350,5.400,18738013,3467288
20100203,5.400,5.630,5.360,5.610,35446060,6393981
20100204,5.500,5.840,5.500,5.740,34381680,6062153
20100205,5.620,5.720,5.510,5.540,25682275,4588859
20100208,5.520,5.620,5.520,5.540,1299347.00,2336669
20100209,5.490,5.590,5.460,5.510,1279589.00,2322685
20100210,5.560,5.570,5.480,5.560,1260216.60,2282476
20100211,5.600,5.680,5.560,5.560,17237513,3071339
20100212,5.660,5.660,5.560,5.600,1064450.60,1903190
20100222,5.570,5.660,5.560,5.630,17665192,3144161
20100223,5.610,5.970,5.500,5.950,40164334,6999160
20100224,5.880,5.970,5.800,5.950,30177565,5114992
20100225,5.940,6.100,5.920,6.020,35422706,5896418
20100226,6.070,6.150,5.970,6.050,29691633,4908638
20100301,6.150,6.150,6.030,6.100,29118426,4790779
20100302,6.100,6.170,5.970,6.110,40445466,6655052
20100303,6.100,6.300,6.070,6.250,46786587,7556819
20100304,6.290,6.560,6.100,6.130,73140765,11534318
20100305,6.100,6.240,6.050,6.120,33656575,5478280
20100308,6.100,6.180,6.080,6.130,22006604,3591033
20100309,6.130,6.140,5.980,6.050,21422230,3533873
20100310,6.050,6.070,5.890,5.920,20547728,3439451
20100311,5.860,5.980,5.830,5.890,15381896,2605988
20100312,5.940,5.970,5.840,5.860,15439846,2617154
