DATE,OPEN,HIGH,LOW,CLOSE,AMOUNT,VOLUME
20100104,6.440,6.530,6.370,6.440,49012981,7625756
20100105,6.430,6.450,6.230,6.370,55522140,8773658
20100106,6.370,6.620,6.280,6.590,119680387,18565306
20100107,6.530,6.580,6.280,6.310,86157995,13397890
20100108,6.280,6.330,6.180,6.330,40633837,6496897
20100111,6.330,6.390,6.150,6.180,55399956,8910697
20100112,6.160,6.360,6.160,6.320,47966933,7636552
20100113,6.160,6.320,6.160,6.190,49088403,7890844
20100114,6.220,6.350,6.180,6.350,51104286,8127485
20100115,6.340,6.560,6.330,6.470,97517018,15056906
20100118,6.430,6.580,6.380,6.570,79259664,12212476
20100119,6.530,6.580,6.430,6.500,64338894,9917290
20100120,6.520,6.650,6.330,6.350,106312471,16388560
20100121,6.350,6.620,6.350,6.570,90300146,13872218
20100122,6.510,6.510,6.140,6.250,77585015,12317085
20100125,6.260,6.290,6.000,6.030,44704270,7304613
20100126,6.040,6.080,5.640,5.700,41762493,7169668
20100127,5.710,5.780,5.600,5.700,29523274,5182884
20100128,5.710,5.750,5.640,5.710,21728868,3809999
20100129,5.680,5.810,5.650,5.690,26899704,4699790
20100201,5.670,5.740,5.520,5.710,27682530,4931295
20100202,5.740,5.840,5.720,5.780,37520855,6491690
20100203,5.740,5.890,5.550,5.880,38250363,6619031
20100204,5.830,6.190,5.780,6.060,66281769,11037716
20100205,5.950,6.230,5.890,5.990,64421633,10648508
20100208,6.020,6.080,5.900,6.050,33713449,5608712
20100209,6.060,6.060,5.880,5.940,30619444,5139645
20100210,6.000,6.000,5.880,5.980,20103708,3383629
20100211,5.990,6.030,5.870,5.880,23314052,3916948
20100212,5.890,5.970,5.880,5.920,23808022,4032119
20100222,5.940,6.000,5.880,5.940,23632567,3976739
20100223,5.940,6.060,5.810,6.020,40947999,6886308
20100224,5.980,6.230,5.950,6.200,58943008,9607280
20100225,6.220,6.550,6.160,6.490,137812250,21629096
20100226,6.480,6.670,6.390,6.490,186580060,28429491
20100301,6.440,6.860,6.400,6.740,147921540,22366997
20100302,6.680,6.890,6.570,6.730,189668110,28173391
20100303,6.770,6.790,6.620,6.660,108635243,16250888
20100304,6.620,6.780,6.340,6.370,112303904,17186481
20100305,6.420,6.500,6.210,6.480,71902564,11280351
20100308,6.500,6.750,6.450,6.670,107671662,16226475
20100309,6.600,6.750,6.490,6.600,76046330,11478512
20100310,6.560,6.620,6.400,6.450,48495146,7455574
20100311,6.430,6.490,6.300,6.400,32107131,5022667
20100312,6.400,6.510,6.360,6.390,31553209,4916269
20100315,6.370,6.420,6.250,6.300,27490899,4349866
20100316,6.300,6.370,6.270,6.370,19946968,3152301
20100317,6.380,6.630,6.380,6.580,64339189,9833919
20100318,6.580,6.700,6.540,6.620,59775678,9034782
20100319,6.680,6.700,6.570,6.640,47154511,7115390
20100322,6.650,6.710,6.610,6.700,60739765,9106815
20100323,6.700,6.740,6.540,6.560,55016742,8297658
20100324,6.580,6.620,6.520,6.550,39568624,6036257
20100325,6.550,6.550,6.360,6.380,46272341,7206129
20100326,6.410,6.540,6.380,6.510,34440671,5316476
20100329,6.520,6.620,6.440,6.590,51530119,7874913
20100330,6.610,6.680,6.550,6.620,55097309,8306988
20100331,6.630,6.630,6.520,6.520,36506793,5559893
20100401,6.540,6.750,6.540,6.700,83211283,12483705
20100402,6.700,6.830,6.630,6.800,120545012,17914375
20100406,6.780,6.940,6.710,6.770,110177975,16198485
20100407,6.770,6.840,6.670,6.710,69500181,10302368
20100408,6.680,6.680,6.570,6.600,71301935,10784402
20100409,6.600,6.710,6.550,6.670,69187536,10422322
20100412,6.690,6.690,6.460,6.520,88533285,13517879
20100413,6.500,6.570,6.240,6.400,77469839,12099554
20100414,6.380,6.490,6.350,6.480,39099025,6089899
20100415,6.460,6.530,6.350,6.380,47824807,7446279
20100416,6.350,6.470,6.280,6.410,37685076,5892246
20100419,6.350,6.360,5.860,5.900,67380662,10990467
20100420,5.880,5.960,5.730,5.830,40448005,6966177
20100421,5.830,6.010,5.810,5.980,39932349,6752459
20100422,5.970,6.200,5.890,6.150,72391099,11871311
20100423,6.130,6.240,6.090,6.190,56229768,9094723
20100426,6.200,6.440,6.120,6.350,83237735,13191983
20100427,6.350,6.360,6.110,6.260,64232688,10339988
20100428,6.220,6.480,6.200,6.370,84546258,13273529
20100429,6.370,6.460,6.220,6.230,58351882,9213790
