DATE,OPEN,HIGH,LOW,CLOSE,AMOUNT,VOLUME
20100104,6.260,6.450,6.180,6.360,176732790,27821887
20100105,6.360,6.530,6.300,6.410,177271710,27590010
20100106,6.340,6.600,6.310,6.470,166767510,25838029
20100107,6.410,6.440,6.120,6.160,119666634,19050990
20100111,6.290,6.780,6.230,6.780,223729570,33563047
20100112,7.090,7.150,6.820,7.030,683760140,97982523
20100113,6.860,7.300,6.850,7.090,485097330,68159957
20100114,7.130,7.270,7.010,7.170,315344360,44009626
20100115,7.080,7.200,6.970,7.070,200649240,28430600
20100118,7.080,7.090,6.900,7.040,135848380,19408202
20100119,7.020,7.080,6.890,7.040,136979260,19619097
20100120,7.040,7.250,6.710,6.760,246271680,34931527
20100121,6.670,6.820,6.640,6.700,97083666,14438938
20100122,6.600,6.640,6.210,6.360,115113806,17929393
20100125,6.300,6.450,6.220,6.300,57452635,9046253
20100126,6.290,6.360,5.980,6.030,64964156,10489001
20100127,6.050,6.180,6.000,6.060,57318144,9408168
20100128,6.060,6.200,6.020,6.140,40859589,6678793
20100129,6.140,6.280,6.080,6.150,49335373,7970046
20100201,6.100,6.170,5.740,5.860,70327890,11969453
20100202,5.860,6.080,5.840,5.940,55116401,9281570
20100203,5.900,6.070,5.680,6.060,63482378,10717675
20100204,6.030,6.150,5.940,6.060,66829165,10995866
20100205,5.870,6.130,5.840,5.950,64704735,10814395
20100208,5.940,6.130,5.900,6.070,42396125,6995756
20100209,6.080,6.110,6.000,6.090,33327936,5499708
20100210,6.150,6.160,6.050,6.120,32500578,5334541
20100211,6.110,6.170,6.060,6.090,27562429,4504290
20100212,6.100,6.190,6.080,6.150,39444098,6429103
20100222,6.100,6.140,6.070,6.090,31998215,5238052
20100223,6.070,6.320,5.940,6.290,86145745,14014023
20100224,6.210,6.350,6.190,6.340,76848514,12195963
20100225,6.360,6.430,6.310,6.380,74135375,11646334
20100226,6.440,6.580,6.390,6.390,96704662,14916685
20100301,6.350,6.500,6.340,6.480,80561207,12544625
20100302,6.500,6.630,6.450,6.560,107387754,16415969
20100303,6.510,6.650,6.470,6.620,91608392,13955079
20100304,6.580,6.640,6.230,6.290,93909153,14561475
20100305,6.290,6.440,6.250,6.370,50455815,7933476
20100308,6.380,6.550,6.350,6.500,54366927,8409755
20100309,6.520,6.620,6.370,6.580,102858668,15709841
20100310,6.610,6.660,6.380,6.440,68517804,10547398
20100311,6.410,6.460,6.250,6.310,50798908,8027794
20100312,6.300,6.330,6.090,6.120,53077880,8568656
20100315,6.150,6.170,6.010,6.090,31498759,5187831
20100316,6.060,6.150,6.020,6.130,28094919,4607555
20100317,6.130,6.360,6.100,6.350,64831813,10341906
20100318,6.380,6.680,6.380,6.470,165728250,25353592
20100319,6.490,6.610,6.390,6.510,93637526,14354288
20100322,6.590,6.750,6.460,6.690,144814000,21778854
20100323,6.690,6.690,6.520,6.530,83776979,12737516
20100324,6.530,6.750,6.460,6.620,116961949,17665028
20100325,6.590,6.840,6.450,6.690,215295100,32184601
20100326,6.650,6.820,6.560,6.750,150455470,22357770
20100329,6.770,6.890,6.650,6.790,128790711,19040727
20100330,6.770,6.830,6.700,6.800,93576840,13823256
20100331,6.820,7.070,6.710,6.970,197699230,28664707
20100401,6.910,7.120,6.860,6.960,192661750,27604576
20100402,6.940,7.170,6.860,7.010,173393370,24729134
20100406,7.020,7.040,6.860,6.960,102697029,14817874
20100407,6.940,7.030,6.880,6.950,90135846,12977103
20100408,6.920,6.940,6.760,6.790,118644852,17393767
20100409,6.860,7.240,6.850,7.100,266166890,37653451
20100412,7.100,7.270,7.030,7.170,194354950,27187058
20100413,7.150,7.150,6.760,6.930,141706260,20364226
20100414,6.940,7.020,6.810,6.950,77895376,11214996
20100415,6.920,6.990,6.700,6.720,96695396,14160071
20100416,6.750,6.830,6.620,6.710,51178909,7590297
20100419,6.630,6.840,6.420,6.460,85987609,12916705
20100420,6.520,6.730,6.460,6.730,78909435,11941763
20100421,6.750,6.950,6.680,6.910,101692566,14860591
20100422,6.910,7.060,6.810,6.900,109460817,15831252
20100423,6.870,6.960,6.650,6.700,82948464,12211585
20100426,6.700,6.890,6.660,6.790,58509544,8595544
20100427,6.760,6.760,6.280,6.550,81537107,12531375
20100428,6.450,6.600,6.270,6.370,45673436,7107316
20100429,6.370,6.490,6.200,6.210,48411335,7588052
20100430,6.220,6.290,5.930,6.010,47073917,7785767
20100504,5.950,6.080,5.850,6.040,27182063,4516850
20100505,6.000,6.250,5.980,6.230,38115863,6212145
20100506,6.200,6.270,5.990,6.000,35612007,5794456
20100507,5.900,6.080,5.860,5.910,33874253,5671181
20100510,5.910,6.020,5.680,5.840,33373811,5712389
20100511,5.980,6.050,5.710,5.750,32138528,5453363
20100512,5.750,5.810,5.480,5.580,30337235,5391738
20100513,5.600,5.690,5.460,5.690,30112684,5381312
20100514,5.640,5.740,5.580,5.670,29213847,5163108
20100517,5.590,5.600,5.150,5.160,29845794,5530233
20100519,5.220,5.350,5.160,5.280,38548813,7336904
20100520,5.200,5.310,5.020,5.030,30631980,5921331
20100521,4.880,5.090,4.810,5.070,38609528,7813081
20100524,5.100,5.360,5.100,5.280,40307245,7683463
20100525,5.270,5.380,5.110,5.180,47842247,9121590
20100526,5.160,5.360,5.160,5.340,42809243,8099989
20100527,5.300,5.480,5.190,5.420,46427023,8655247
20100528,5.480,5.510,5.350,5.420,41262200,7609294
20100531,5.360,5.520,5.300,5.340,62891921,11595347
20100601,5.200,5.300,5.040,5.150,33417068,6489933
20100602,5.100,5.390,5.000,5.370,36541501,6996693
20100603,5.310,5.420,5.200,5.210,61021340,11395495
20100604,5.140,5.360,5.120,5.260,27089732,5197124
20100607,5.170,5.240,5.100,5.180,23177763,4485708
20100608,5.200,5.350,5.180,5.270,32368057,6126190
20100609,5.280,5.420,5.270,5.400,40311288,7527365
20100610,5.360,5.490,5.330,5.420,45606847,8403647
20100611,5.460,5.460,5.320,5.340,28462126,5291275
20100617,5.380,5.440,5.290,5.300,18102637,3367243
20100618,5.280,5.300,5.040,5.090,28362148,5495101
20100621,5.090,5.280,5.080,5.270,21575654,4157063
20100622,5.270,5.450,5.230,5.390,52982916,9852341
20100623,5.340,5.400,5.200,5.290,31874868,6014891
20100624,5.290,5.360,5.250,5.330,22359459,4218464
20100625,5.330,5.330,5.150,5.230,18765912,3595261
20100628,5.230,5.250,5.110,5.150,1130100.60,2186212
20100629,5.160,5.190,4.810,4.840,29331159,5914956
20100630,4.820,4.820,4.690,4.710,16055733,3394396
20100701,4.710,4.780,4.580,4.590,13976024,2983290
20100702,4.610,4.620,4.400,4.580,18851348,4167407
20100705,4.500,4.620,4.460,4.580,1122328.90,2466855
20100706,4.580,4.710,4.580,4.690,16600222,3555084
20100707,4.680,5.030,4.660,4.840,50507572,10454991
