DATE,OPEN,HIGH,LOW,CLOSE,AMOUNT,VOLUME
20100104,8.350,8.380,8.250,8.310,18428202,2215980
20100105,8.450,8.450,8.120,8.270,20029073,2419856
20100106,8.270,8.420,8.170,8.290,26112992,3129276
20100107,8.250,8.350,7.990,8.010,24760910,3038300
20100108,8.000,8.050,7.800,7.990,21944684,2766434
20100111,8.050,8.120,7.890,7.920,19845244,2492078
20100112,7.910,8.140,7.900,8.130,19726984,2464027
20100113,8.020,8.350,7.900,8.190,40082055,4950249
20100114,8.150,8.190,7.900,8.180,37264476,4601795
20100115,8.220,8.300,8.130,8.260,36119992,4391085
20100118,8.240,8.400,8.180,8.400,48211030,5772269
20100119,8.430,8.470,8.190,8.230,72735007,8774034
20100120,8.250,8.280,7.690,7.840,73567074,9277431
20100121,7.820,7.920,7.660,7.840,30628115,3931678
20100122,7.750,7.750,7.440,7.630,30034556,3951693
20100125,7.530,7.650,7.480,7.500,1278886.20,1690797
20100126,7.520,7.700,7.380,7.470,25009870,3309255
20100127,7.450,7.500,7.260,7.320,13710304,1860612
20100128,7.300,7.370,7.180,7.280,15358185,2113634
20100129,7.230,7.340,7.200,7.250,13959619,1916142
20100201,7.250,7.300,7.000,7.110,17650753,2492472
20100202,7.180,7.280,7.050,7.070,13483830,1881578
20100203,7.200,7.580,7.060,7.510,47223054,6394745
20100204,7.700,7.930,7.540,7.770,73336022,9497447
20100205,7.400,7.950,7.390,7.740,64121957,8328184
20100209,7.700,7.880,7.620,7.770,45437744,5842881
20100210,7.800,7.960,7.730,7.810,63551724,8142468
20100211,7.810,7.970,7.730,7.770,56537382,7243953
20100212,7.760,7.760,7.560,7.640,29082622,3823317
20100222,7.650,7.650,7.480,7.490,20686138,2740460
20100223,7.400,7.530,7.280,7.470,14933857,2022993
20100224,7.400,7.640,7.400,7.630,25244689,3344839
20100225,7.630,8.390,7.560,8.390,101899438,12747157
20100226,8.600,8.790,8.160,8.360,179723410,21247945
20100301,8.240,8.650,8.220,8.430,109611910,13053065
20100302,8.430,8.430,8.200,8.240,46287814,5595042
20100303,8.200,8.310,8.130,8.260,44862925,5449815
20100304,8.270,8.450,7.980,8.350,99865457,12112411
20100305,8.250,8.400,8.100,8.120,64947480,7864848
20100308,8.130,8.200,8.020,8.150,29816058,3672733
20100309,8.160,8.280,7.990,8.200,41748971,5123677
20100310,8.220,8.270,8.010,8.090,29566694,3628375
20100311,8.110,8.300,8.060,8.250,43283808,5286608
20100312,8.270,8.270,7.910,8.060,35608643,4392761
20100315,8.070,8.140,7.690,7.700,29486441,3765429
20100316,7.680,7.750,7.550,7.700,22183874,2894327
20100317,7.720,7.840,7.700,7.820,25968693,3333697
20100318,7.850,7.870,7.750,7.860,20858310,2671421
