DATE,OPEN,HIGH,LOW,CLOSE,AMOUNT,VOLUME
20100104,6.190,6.190,6.080,6.090,46832412,7638975
20100105,6.090,6.130,6.010,6.110,39252150,6456808
20100106,6.110,6.230,6.080,6.160,77391435,12527866
20100107,6.160,6.340,6.110,6.210,93541204,15031799
20100108,6.300,6.300,5.900,6.100,128682590,21136398
20100111,6.120,6.210,5.810,6.200,104706874,17083627
20100115,6.460,6.460,6.270,6.330,152115800,23827873
20100118,6.380,6.650,6.320,6.650,179233540,27150029
20100119,6.700,6.980,6.700,6.980,138027480,19901967
20100120,7.250,7.250,6.760,6.820,294036760,42000698
20100121,6.900,7.000,6.820,6.910,112769896,16320702
20100122,6.900,6.990,6.600,6.770,124339143,18237974
20100125,6.690,6.850,6.490,6.490,71825425,10782438
20100126,6.490,6.560,6.220,6.280,72617605,11425159
20100127,6.280,6.380,6.200,6.350,52501390,8346266
20100128,6.330,6.580,6.270,6.520,70074243,10837475
20100129,6.320,6.530,6.320,6.460,90989007,14155230
20100201,6.410,6.420,6.250,6.310,60496172,9552772
20100202,5.990,6.090,5.990,5.990,416668680,69499378
20100203,5.730,5.900,5.690,5.850,421890810,73389651
20100204,5.730,5.950,5.690,5.840,203286260,34740378
20100205,5.750,5.960,5.710,5.830,166887380,28587021
20100208,5.830,6.040,5.760,6.030,271603340,45605063
20100209,6.080,6.160,5.970,6.040,145434710,23977287
20100210,6.060,6.090,5.990,6.030,135923150,22575862
20100211,6.030,6.080,5.990,6.000,82519528,13711427
20100212,6.030,6.040,5.980,6.040,88223962,14659272
20100222,6.020,6.240,6.000,6.130,171725470,28047223
20100223,6.130,6.230,6.030,6.150,147310420,24040154
20100224,6.130,6.460,6.090,6.460,258673430,41028335
20100225,6.490,6.780,6.490,6.770,496264490,73957056
20100226,6.750,7.100,6.650,6.810,404864160,58635244
20100301,6.790,6.950,6.750,6.860,161398140,23446480
20100302,6.850,6.940,6.770,6.800,165432270,24248724
20100303,6.800,7.040,6.780,6.940,260884120,37703564
20100304,6.940,6.970,6.590,6.750,283814930,41960963
20100305,6.730,6.820,6.630,6.790,154640330,22981483
20100308,6.820,7.130,6.820,7.050,276737810,39278326
20100309,6.990,7.130,6.910,6.980,187274160,26670311
20100310,6.960,6.990,6.760,6.780,181017860,26495096
20100311,6.780,7.000,6.730,6.840,131538109,19106896
20100312,6.870,6.970,6.630,6.640,132749950,19623208
20100315,6.610,6.820,6.590,6.700,106301560,15910157
20100316,6.700,7.040,6.680,7.040,442149810,63197982
20100317,7.080,7.390,6.960,7.250,280406880,39138809
20100318,7.250,7.600,7.200,7.310,269755700,36462857
20100322,7.480,7.630,7.370,7.560,294717880,39194792
20100323,7.550,7.550,7.360,7.420,146074410,19666128
20100324,7.420,7.620,7.410,7.450,130920391,17454347
20100325,7.430,7.470,7.220,7.390,119178741,16204867
20100326,7.330,7.580,7.310,7.510,153455570,20539289
20100329,7.530,7.850,7.530,7.740,217254640,28020542
20100330,7.760,7.820,7.650,7.710,135494850,17528289
20100331,7.720,7.990,7.720,7.850,146856190,18661434
20100401,7.860,8.020,7.790,7.840,196667530,24888780
20100402,7.830,7.980,7.670,7.910,183612700,23502845
20100406,7.980,8.260,7.880,8.200,194302290,23914938
20100407,8.220,8.500,8.160,8.490,255202840,30455911
20100408,8.500,8.830,8.470,8.800,325688410,37477702
20100409,8.810,9.050,8.610,8.990,335376230,37921571
20100412,9.000,9.440,8.990,9.430,393163980,42313705
20100413,9.440,9.460,8.960,8.960,505765160,55649521
20100414,8.760,9.150,8.530,8.900,341373460,38299596
20100415,8.900,8.930,8.600,8.850,244977420,27951582
20100416,8.840,9.180,8.660,8.980,203656120,22747547
20100419,8.790,8.920,8.530,8.530,271768290,31272124
20100420,8.410,8.960,8.260,8.920,322019600,36848059
20100421,9.030,9.310,8.960,9.300,332180380,36007134
20100422,9.350,9.770,9.210,9.730,447049960,46589274
20100423,9.730,9.900,9.440,9.470,391694340,40728264
20100426,9.470,9.910,9.400,9.680,289494050,29735038
20100427,9.700,9.720,9.200,9.270,373676720,40242697
20100428,9.200,9.440,8.920,9.290,192623810,20858117
20100429,9.240,9.380,8.830,8.880,191759770,21092037
20100430,8.770,8.770,8.440,8.440,173401210,20404690
20100504,8.150,8.770,8.130,8.410,216166530,25544074
20100505,8.200,8.830,7.990,8.810,537031200,63851515
20100506,8.670,8.770,8.370,8.370,328668670,38481543
20100507,8.010,8.360,7.950,7.950,264268820,32682187
20100510,7.950,8.100,7.550,7.550,220866900,28966432
20100511,7.600,7.690,7.170,7.170,225530030,30738361
20100512,6.860,7.130,6.810,6.940,259935770,37470788
20100513,6.940,7.230,6.720,7.210,160821840,22688637
20100514,7.180,7.460,6.990,7.100,236140490,32812440
20100517,7.000,7.010,6.750,6.750,108027613,15844629
20100518,6.550,6.850,6.450,6.750,167839680,25263449
20100519,6.630,7.080,6.610,6.960,214782950,31129801
20100520,6.900,7.040,6.680,6.910,181329520,26343590
20100521,6.710,7.180,6.600,7.150,184521300,26326335
20100524,7.170,7.510,7.170,7.510,226979620,30495251
20100525,7.490,7.610,7.340,7.420,175723070,23485329
20100526,7.400,7.730,7.400,7.670,206374250,27223848
20100528,8.190,8.330,7.790,7.830,637812590,79429713
20100531,7.700,7.740,7.230,7.250,276387950,36923442
20100601,7.250,7.570,7.190,7.380,244653210,33227671
20100602,7.300,7.360,7.020,7.350,184902860,25753986
20100603,7.360,8.000,7.360,7.530,288118660,37585038
20100604,7.490,7.960,7.390,7.720,230568340,30170200
20100607,7.470,7.890,7.410,7.640,204892450,26746392
