DATE,OPEN,HIGH,LOW,CLOSE,AMOUNT,VOLUME
20100104,8.560,9.000,8.500,8.790,31213477,3537925
20100105,8.900,9.030,8.730,8.930,30442882,3403553
20100106,8.860,9.150,8.860,8.970,32218670,3576016
20100107,8.990,8.990,8.630,8.690,20162959,2294997
20100108,8.500,8.740,8.460,8.720,1297676.60,1512727
20100111,8.740,8.740,8.430,8.480,18045269,2115812
20100112,8.580,8.860,8.520,8.800,24685974,2809011
20100113,8.720,8.940,8.660,8.820,32745354,3721931
20100114,8.850,9.150,8.830,9.070,34170113,3785532
20100115,9.100,9.100,8.880,8.950,31745154,3535864
20100118,8.940,9.550,8.900,9.540,74189743,7966309
20100119,9.520,9.800,9.310,9.730,61906909,6472285
20100120,9.700,9.770,9.390,9.400,40345501,4210586
20100121,9.540,9.880,9.350,9.440,37812289,3960143
20100122,9.360,9.400,8.670,8.900,31359073,3482475
20100125,9.020,9.080,8.680,8.690,14638355,1664300
20100126,8.610,8.780,8.180,8.260,14368980,1705153
20100127,8.260,8.390,8.120,8.270,841252.60,1014509
20100128,8.270,8.390,8.240,8.350,799674.90,961862
20100129,8.360,8.500,8.290,8.350,1300205.70,1545717
20100201,8.350,8.450,8.080,8.220,962909.00,1178610
20100202,8.290,8.330,8.150,8.180,737757.60,894551
20100203,8.250,8.430,7.970,8.380,17487966,2141583
20100204,8.450,8.450,8.260,8.370,16676037,1993580
20100205,8.150,8.580,8.060,8.540,37408340,4454113
20100208,8.600,8.760,8.400,8.490,18440590,2150137
20100209,8.550,8.560,8.370,8.390,1056489.70,1250555
20100210,8.360,8.550,8.360,8.520,1066077.80,1256098
20100211,8.650,8.700,8.440,8.480,1061378.50,1237832
20100212,8.540,8.750,8.440,8.640,901693.70,1043706
20100222,8.660,9.000,8.490,8.840,29316347,3311662
20100223,9.180,9.250,8.840,9.050,51950453,5753408
20100224,8.670,9.050,8.670,9.040,27998444,3152452
20100225,9.100,9.100,8.900,9.010,39432679,4400905
20100226,8.950,9.190,8.800,9.070,41100555,4562753
20100301,9.020,9.080,8.900,9.000,32512775,3613303
20100302,9.020,9.120,8.940,9.110,28985684,3210713
20100303,9.120,9.200,9.000,9.180,35217656,3856354
20100304,9.170,9.180,8.580,8.650,35585162,4008184
20100305,8.660,8.720,8.500,8.530,16184346,1882243
20100308,8.550,8.690,8.500,8.610,894527.30,1039516
20100309,8.590,8.680,8.500,8.650,1211769.80,1411041
20100310,8.640,8.810,8.570,8.730,19039041,2190109
20100311,8.730,8.790,8.590,8.680,933808.60,1074496
20100312,8.730,9.300,8.540,9.210,30202323,3426298
20100315,8.970,9.250,8.880,9.140,60906865,6682728
20100316,9.150,9.170,9.000,9.110,27333079,3017020
20100317,9.120,9.250,8.920,9.210,42023860,4614958
20100318,9.170,9.220,9.050,9.100,29181867,3189760
20100319,9.140,9.190,9.010,9.130,24521844,2691659
20100322,9.140,9.350,9.100,9.310,41064752,4437634
20100323,9.470,9.470,9.100,9.120,28115064,3055025
20100324,9.420,9.420,9.090,9.150,22692932,2462474
20100325,9.160,9.220,8.850,8.950,21575857,2394439
20100326,8.980,9.110,8.810,9.000,13996621,1556777
20100329,8.990,9.240,8.990,9.170,18872291,2065692
20100330,9.170,9.190,9.090,9.180,16279831,1780960
20100331,9.110,9.220,9.040,9.050,19003228,2085865
20100401,9.190,9.250,9.050,9.210,25619179,2797178
20100402,9.320,9.750,9.320,9.510,80253936,8419831
20100406,9.410,9.580,9.370,9.500,36751153,3877420
20100407,9.510,9.510,9.280,9.330,23844257,2546351
20100408,9.330,9.330,9.180,9.220,24900221,2694802
20100409,9.280,9.660,9.200,9.620,36477456,3883323
20100412,9.690,9.880,9.460,9.860,47495119,4909784
20100413,9.900,9.900,9.380,9.710,43955658,4546203
20100414,9.670,10.280,9.590,10.000,102185878,10185705
20100415,10.200,10.480,9.780,9.840,81903197,8095048
20100416,9.880,9.940,9.490,9.650,29950153,3098520
20100419,9.590,9.690,9.100,9.120,32530101,3450663
