DATE_0,OPEN_0,HIGH_0,LOW_0,CLOSE_0,VOLUME_0,AMOUNT_0,VWAP_0,OUTPUTVWAP_0
1/31/11,9.31,9.43,9.28,9.37,5.8506018E7,5.4806883E8,9.367734273079394,9.277480312856948
2/1/11,9.35,9.4,9.2,9.29,3.2039819E7,2.9724879E8,9.277480312856948,9.16295190421978
2/2/11,9.2,9.22,9.11,9.15,3.0840689E7,2.8259175E8,9.16295190421978,9.129059527680168
2/3/11,9.09,9.22,9.03,9.11,4.2139539E7,3.8469436E8,9.129059527680168,9.22235270590276
2/4/11,9.13,9.38,9.08,9.29,4.0598521E7,3.7441388E8,9.22235270590276,9.270094127294453
2/5/11,9.3,9.33,9.2,9.26,2.841365E7,2.6339721E8,9.270094127294453,9.310840859494494
2/6/11,9.3,9.41,9.22,9.3,3.8055811E7,3.543316E8,9.310840859494494,9.155457098700893
2/7/11,9.18,9.22,9.12,9.15,2.7627217E7,2.529398E8,9.155457098700893,9.05214764858837
2/8/11,9.2,9.21,8.94,9.1,5.0592099E7,4.5796715E8,9.05214764858837,9.031121221874871
2/9/11,9.1,9.17,8.94,8.95,5.6765027E7,5.1265184E8,9.031121221874871,9.004678376422916
2/10/11,9.02,9.07,8.95,8.98,4.222405E7,3.8021399E8,9.004678376422916,8.819042935406852
2/11/11,8.91,8.92,8.79,8.81,4.1510239E7,3.6608058E8,8.819042935406852,8.834646759523679
2/12/11,8.8,8.92,8.73,8.86,3.4551618E7,3.0525134E8,8.834646759523679,9.026897992888895
2/13/11,8.86,9.22,8.76,9.09,7.0353056E7,6.3506986E8,9.026897992888895,8.9150382395237
2/14/11,9.01,9.02,8.8,8.82,5.3791988E7,4.7955763E8,8.9150382395237,8.69119025422252
2/15/11,8.71,8.81,8.61,8.73,5.4164832E7,4.7075686E8,8.69119025422252,8.5314981165376
2/16/11,8.65,8.72,8.4,8.44,8.174838E7,6.9743615E8,8.5314981165376,8.52139479846413
2/17/11,8.52,8.58,8.48,8.52,4.0252611E7,3.4300839E8,8.52139479846413,8.489295464690018
2/18/11,8.59,8.6,8.4,8.43,4.2407399E7,3.6000894E8,8.489295464690018,8.441754607014289
2/19/11,8.39,8.52,8.33,8.45,4.3757787E7,3.693925E8,8.441754607014289,8.527770203162833
2/20/11,8.48,8.64,8.44,8.54,6.0468787E7,5.1566392E8,8.527770203162833,8.46064814600668
2/21/11,8.52,8.56,8.41,8.42,3.2428434E7,2.7436557E8,8.46064814600668,8.642778570677688
2/22/11,8.78,8.78,8.48,8.57,5.9130344E7,5.1105047E8,8.642778570677688,8.802743432547734
2/23/11,8.54,8.92,8.49,8.85,8.9412222E7,7.8707285E8,8.802743432547734,8.849397738090369
2/24/11,8.82,8.94,8.76,8.87,5.1298778E7,4.5396329E8,8.849397738090369,8.799085220746749
2/25/11,8.84,8.88,8.73,8.83,4.0504198E7,3.5639989E8,8.799085220746749,8.929591414064816
2/26/11,8.84,9.05,8.82,8.92,4.6009758E7,4.1084834E8,8.929591414064816,8.808821592250329
2/27/11,8.85,8.9,8.75,8.78,4.1115344E7,3.6217773E8,8.808821592250329,8.830065244429171
2/28/11,8.78,8.92,8.75,8.84,3.6188377E7,3.1954573E8,8.830065244429171,8.748297396752427
3/1/11,8.77,8.86,8.64,8.73,5.0658455E7,4.4317523E8,8.748297396752427,8.885578016978073
3/2/11,8.75,8.97,8.7,8.89,5.9306969E7,5.269767E8,8.885578016978073,9.103197292076723
3/3/11,8.91,9.21,8.87,9.16,9.4932084E7,8.6418549E8,9.103197292076723,9.171735610210044
3/4/11,9.18,9.25,9.08,9.16,6.6314936E7,6.0822306E8,9.171735610210044,9.222160400448494
3/5/11,9.13,9.3,9.05,9.18,6.8454846E7,6.3130157E8,9.222160400448494,9.265170290757256
3/6/11,9.26,9.35,9.21,9.26,4.5585827E7,4.2236045E8,9.265170290757256,9.402495097315176
3/7/11,9.4,9.55,9.26,9.38,8.2502754E7,7.7573174E8,9.402495097315176,9.231164080339619
3/8/11,9.35,9.35,9.16,9.21,5.0778832E7,4.6874773E8,9.231164080339619,9.222433150902093
3/9/11,9.15,9.34,9.11,9.18,5.7198902E7,5.2751305E8,9.222433150902093,9.19325881974714
3/10/11,9.08,9.37,9.04,9.36,5.9397848E7,5.4605979E8,9.19325881974714,9.314317444133493
3/11/11,9.38,9.39,9.22,9.24,8.4349601E7,7.8565896E8,9.314317444133493,9.301584619604041
3/12/11,9.35,9.36,9.23,9.31,4.2565042E7,3.9592234E8,9.301584619604041,9.211356226949182
3/13/11,9.25,9.28,9.16,9.18,3.2870037E7,3.0277762E8,9.211356226949182,9.200795145952137
3/14/11,9.24,9.3,9.14,9.21,3.1693301E7,2.9160357E8,9.200795145952137,9.22934088428182
3/15/11,9.24,9.29,9.18,9.27,2.7951632E7,2.5797514E8,9.22934088428182,9.148634180985367
3/16/11,9.2,9.25,9.04,9.05,4.6636157E7,4.2665714E8,9.148634180985367,9.104864030618213
3/17/11,9.06,9.17,9.05,9.08,2.5261827E7,2.300055E8,9.104864030618213,9.205651242619949
3/18/11,9.18,9.27,9.13,9.21,4.2296963E7,3.8937109E8,9.205651242619949,9.168537606762198
3/19/11,9.2,9.22,9.13,9.18,3.0013432E7,2.7517928E8,9.168537606762198,8.997773980205825
3/20/11,9.18,9.18,8.87,8.92,6.4028631E7,5.7611515E8,8.997773980205825,8.891377370872702
3/21/11,8.94,8.97,8.84,8.86,3.2007465E7,2.8459045E8,8.891377370872702,8.80498116101796
3/22/11,8.8,8.89,8.76,8.8,3.681993E7,3.2419879E8,8.80498116101796,8.71274890839459
3/23/11,8.84,8.85,8.67,8.74,3.2355327E7,2.8190384E8,8.71274890839459,8.74145388022457
3/24/11,8.7,8.81,8.68,8.75,3.0669913E7,2.6809963E8,8.74145388022457,8.677299413873167
3/25/11,8.76,8.77,8.62,8.69,2.6370231E7,2.2882239E8,8.677299413873167,8.6931323800111
3/26/11,8.62,8.76,8.6,8.7,2.4460075E7,2.1263467E8,8.6931323800111,8.651687044480486
3/27/11,8.7,8.72,8.6,8.62,2.1366538E7,1.848566E8,8.651687044480486,8.612892521902046
3/28/11,8.63,8.68,8.57,8.6,2.3967739E7,2.0643156E8,8.612892521902046,8.681935825082693
3/29/11,8.66,8.74,8.62,8.73,2.596061E7,2.2538835E8,8.681935825082693,8.55331688793069
3/30/11,8.69,8.73,8.47,8.5,4.4971839E7,3.8465839E8,8.55331688793069,8.840283880763863
3/31/11,8.74,8.95,8.73,8.81,8.9049077E7,7.8721912E8,8.840283880763863,8.788140979793202
4/1/11,8.78,8.85,8.71,8.8,3.8638133E7,3.3955736E8,8.788140979793202,8.819462748891649
4/2/11,8.84,8.91,8.63,8.8,4.0188321E7,3.544394E8,8.819462748891649,8.779373006476288
4/3/11,8.76,8.84,8.7,8.73,2.6440305E7,2.321293E8,8.779373006476288,8.776335763346841
4/4/11,8.74,8.83,8.7,8.78,2.3350899E7,2.0493533E8,8.776335763346841,8.752295561102775
